Livestock (In LU),Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
Cows (mean),101.9300638,108.8763697,110.5147802,109.2115528,108.3871165,108.0179048,107.7569607,107.5537571,107.3846123,107.231306,107.0825274,105.6280922,,
Calves,3.273014871,14.18306444,4.364019827,0,0,0,0,0,0,0,0,0,,
Yearlings,0,0,0,0,0,0,0,0,0,0,0,0,,
# Cows milked,38.27061229,89.78492777,111.2178449,109.8117155,108.6113901,108.1628429,107.8729667,107.6409548,107.4665594,107.3026653,107.1599466,90.97971154,,
days housed (including milking time),31,21.65560467,8.153950494,5.252943084,5.203045349,5.022918205,5.18564627,5.181176783,5.014019777,5.179525088,7.570976131,31,,
grazed as %,0%,25%,90%,100%,100%,100%,100%,100%,100%,100%,89%,0%,,
,,,,,,,,,,,,,,
N Loads,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
CAN,0,0,1493.792535,2516.05185,649.7586732,1825.952529,969.6221102,723.4536307,628.7704873,-2.9298E-13,-3.72884E-13,-3.81762E-13,,
Urea,-9.766E-14,952.3493783,233.7226416,0,0,0,0,0,0,0,0,0,,
Excreta (Urine + Dung),0,175.2464403,640.9517641,804.9698567,910.0243767,915.9260995,925.275546,917.6900211,855.9477329,845.5634987,708.4213921,0,,
Urine,0,74.36653211,290.522548,425.4280978,506.6558179,521.1808753,520.9673946,514.8390546,470.7945373,452.8038487,370.7621578,0,,
Dung,0,100.8799082,350.4292161,379.5417589,403.3685588,394.7452242,404.3081513,402.8509664,385.1531956,392.75965,337.6592343,0,,
Slurry spreading,0,0,0,1366.271424,0,585.7283168,0,0,0,0,0,0,,
Soiled water spreading,26.22530588,54.94603755,82.37231691,85.31404465,91.64887227,91.97729955,92.81217994,91.9548945,85.76337377,84.68544944,79.06977901,64.21616948,,
Pathways (excreted),0,13.69238838,74.15305137,85.43361047,91.77242362,92.09686537,92.9357313,92.07844585,85.8829396,84.8090008,70.29408953,0,,
,,,,,,,,,,,,,,
Housing + storage,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
Dairy cows,3159.831978,2357.78362,901.1320468,573.682071,563.9430823,542.5651005,558.7894816,557.2550292,538.42857,555.4072394,810.7192591,3274.470858,,
Yearlings,0,0,0,0,0,0,0,0,0,0,0,0,,
Calves,101.463461,307.1428364,35.58400163,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Area m2,Days,,,,,,,,,,,,
Slurry storage ,208.4499093,365,,,,,,,,,,,,
Soiled water storage,9.963818919,365,,,,,,,,,,,,
,,,,,,,,,,,,,,
grassland management,area,drainage,,,,,,,,,,,,
grazing only,21.3,Well,,,,,,,,,,,,
1 cut + grazing,7.5,Well,,,,,,,,,,,,
2 cut + grazing,11.2,Well,,,,,,,,,,,,
Total,40.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
